epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4123.68,1.03678,1.74521,0.84127,1.15685,0.79955,0.68182,0.75423,0.443,0.81908,0.67424,0.7548,0.44782,1.47173,2.46263,1.10539,1.57989,0.0012212,0.0012212,0.0012212
61,4192.78,1.01632,1.7122,0.82433,1.14685,0.81339,0.72645,0.793,0.47146,0.8527,0.70172,0.77944,0.47977,1.42542,2.39466,1.1294,1.54036,0.001208,0.001208,0.001208
62,4274.86,1.02197,1.74735,0.8212,1.14173,0.7445,0.66667,0.72067,0.43745,0.78734,0.70123,0.76186,0.45568,1.48005,2.42013,1.09818,1.61126,0.0011948,0.0011948,0.0011948
63,4341.45,1.01458,1.72102,0.81136,1.14297,0.82597,0.66667,0.76266,0.4599,0.84493,0.68182,0.76515,0.47497,1.58749,2.50056,1.28612,1.672,0.0011816,0.0011816,0.0011816
64,4418.85,1.01318,1.73538,0.81571,1.14447,0.80316,0.68004,0.76365,0.47501,0.80669,0.73485,0.78391,0.483,1.4696,2.36656,1.18834,1.58108,0.0011684,0.0011684,0.0011684
65,4484.53,1.02342,1.7406,0.82299,1.14476,0.87677,0.67424,0.78401,0.45946,0.89692,0.68939,0.79148,0.47364,1.51652,2.46771,1.28157,1.58993,0.0011552,0.0011552,0.0011552
66,4552.53,1.01561,1.73998,0.82072,1.14829,0.72926,0.69697,0.74501,0.45206,0.81588,0.63786,0.75023,0.45995,1.45237,2.46171,1.11681,1.52508,0.001142,0.001142,0.001142
67,4626.21,1.01388,1.72885,0.81567,1.14665,0.80055,0.69697,0.7611,0.45769,0.8393,0.71212,0.78188,0.47869,1.5552,2.3622,1.12288,1.59296,0.0011288,0.0011288,0.0011288
68,4692.27,1.00708,1.70329,0.80159,1.13785,0.83228,0.67424,0.77036,0.45836,0.84424,0.68182,0.78157,0.4813,1.4606,2.46984,1.00489,1.53075,0.0011156,0.0011156,0.0011156
69,4757.71,0.99398,1.70887,0.78622,1.13194,0.8127,0.73485,0.7748,0.46033,0.85771,0.73067,0.79968,0.47889,1.50025,2.22241,1.13274,1.56135,0.0011024,0.0011024,0.0011024
